matchNo,Date,Time,Team1,Team2,Score1,Score2,Note,﻿Date,Date.2,Match No.,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official,Attendance,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name,﻿matchNo,season_label,season_start_year,season_end_year,stage,source_file
1,02.11.2000,20:00,Al-Ettifaq,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
2,02.11.2000,20:00,Al Najma,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
3,03.11.2000,20:00,Al Ahli SC,Al Ansar,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
4,07.11.2000,20:00,Al Qadisiya,Sdoos,0,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
5,08.11.2000,20:00,Al Wehda,Al-Shabab,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
6,08.11.2000,20:00,Al Najma,Al Ahli SC,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
7,12.11.2000,20:00,Al-Ittihad FC,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
8,12.11.2000,20:00,Al Riyadh,Al-Shabab,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
9,15.11.2000,20:00,Al-Ettifaq,Al Ahli SC,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
10,15.11.2000,20:00,Al Ansar,Al Najma,3,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
11,16.11.2000,20:00,Al Qadisiya,Al Wehda,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
12,19.11.2000,20:00,Al-Ittihad FC,Al Ansar,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
13,22.11.2000,20:00,Al Wehda,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
14,22.11.2000,20:00,Al Riyadh,Al Qadisiya,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
15,22.11.2000,20:00,Al Najma,Al-Ittihad FC,0,4,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
16,22.11.2000,20:00,Al Ansar,Al-Ettifaq,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
17,26.11.2000,20:00,Al Riyadh,Sdoos,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
18,27.11.2000,20:00,Al-Hilal,Al Ansar,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
19,27.11.2000,20:00,Al-Ettifaq,Al Najma,4,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
20,27.11.2000,20:00,Al Wehda,Al-Ittihad FC,3,4,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
21,28.11.2000,20:00,Al-Shabab,Al Ahli SC,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
22,28.11.2000,20:00,Al Qadisiya,Al-Nassr,1,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
23,01.12.2000,20:00,Al-Nassr,Sdoos,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
24,01.12.2000,20:00,Al-Ettifaq,Al-Ittihad FC,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
25,01.12.2000,20:00,Al Wehda,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
26,01.12.2000,20:00,Al Ahli SC,Al Qadisiya,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
27,02.12.2000,20:00,Al-Shabab,Al Ansar,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
28,04.12.2000,20:00,Al-Nassr,Al Wehda,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
29,05.12.2000,20:00,Sdoos,Al Ahli SC,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
30,06.12.2000,20:00,Al-Ittihad FC,Al Riyadh,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
31,06.12.2000,20:00,Al Ansar,Al Qadisiya,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
32,07.12.2000,20:00,Al-Shabab,Al Najma,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
33,09.12.2000,20:00,Sdoos,Al Ansar,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
34,09.12.2000,20:00,Al Ahli SC,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
35,10.12.2000,20:00,Al-Nassr,Al Riyadh,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
36,10.12.2000,20:00,Al-Ettifaq,Al-Shabab,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
