match_id,date,time,home_team,away_team,home_score,away_score,stadium,city,round,referee_name,attendance,season_label,season_start_year,season_end_year,stage,source_file
1,02.11.2000,20:00,Al-Ettifaq,Al Riyadh,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
2,02.11.2000,20:00,Al Najma,Al-Nassr,0,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
3,03.11.2000,20:00,Al Ahli SC,Al Ansar,3,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
4,07.11.2000,20:00,Al Qadisiya,Sdoos,0,3,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
5,08.11.2000,20:00,Al Wehda,Al-Shabab,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
6,08.11.2000,20:00,Al Najma,Al Ahli SC,0,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
7,12.11.2000,20:00,Al-Ittihad FC,Sdoos,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
8,12.11.2000,20:00,Al Riyadh,Al-Shabab,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
9,15.11.2000,20:00,Al-Ettifaq,Al Ahli SC,2,2,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
10,15.11.2000,20:00,Al Ansar,Al Najma,3,3,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
11,16.11.2000,20:00,Al Qadisiya,Al Wehda,2,2,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
12,19.11.2000,20:00,Al-Ittihad FC,Al Ansar,3,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
13,22.11.2000,20:00,Al Wehda,Sdoos,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
14,22.11.2000,20:00,Al Riyadh,Al Qadisiya,2,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
15,22.11.2000,20:00,Al Najma,Al-Ittihad FC,0,4,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
16,22.11.2000,20:00,Al Ansar,Al-Ettifaq,2,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
17,26.11.2000,20:00,Al Riyadh,Sdoos,0,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
18,27.11.2000,20:00,Al-Hilal,Al Ansar,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
19,27.11.2000,20:00,Al-Ettifaq,Al Najma,4,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
20,27.11.2000,20:00,Al Wehda,Al-Ittihad FC,3,4,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
21,28.11.2000,20:00,Al-Shabab,Al Ahli SC,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
22,28.11.2000,20:00,Al Qadisiya,Al-Nassr,1,3,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
23,01.12.2000,20:00,Al-Nassr,Sdoos,3,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
24,01.12.2000,20:00,Al-Ettifaq,Al-Ittihad FC,2,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
25,01.12.2000,20:00,Al Wehda,Al Riyadh,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
26,01.12.2000,20:00,Al Ahli SC,Al Qadisiya,3,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
27,02.12.2000,20:00,Al-Shabab,Al Ansar,3,2,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
28,04.12.2000,20:00,Al-Nassr,Al Wehda,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
29,05.12.2000,20:00,Sdoos,Al Ahli SC,1,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
30,06.12.2000,20:00,Al-Ittihad FC,Al Riyadh,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
31,06.12.2000,20:00,Al Ansar,Al Qadisiya,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
32,07.12.2000,20:00,Al-Shabab,Al Najma,1,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
33,09.12.2000,20:00,Sdoos,Al Ansar,1,2,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
34,09.12.2000,20:00,Al Ahli SC,Al Wehda,3,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
35,10.12.2000,20:00,Al-Nassr,Al Riyadh,0,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
36,10.12.2000,20:00,Al-Ettifaq,Al-Shabab,1,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
37,11.12.2000,20:00,Al Qadisiya,Al Najma,1,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
38,13.12.2000,20:00,Al Riyadh,Al Ahli SC,1,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
39,14.12.2000,20:00,Sdoos,Al Najma,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
40,14.12.2000,20:00,Al-Ittihad FC,Al-Nassr,2,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
41,14.12.2000,20:00,Al-Ettifaq,Al Qadisiya,4,2,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
42,14.12.2000,20:00,Al Wehda,Al Ansar,2,3,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
43,15.12.2000,20:00,Al-Hilal,Al-Shabab,2,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
44,30.12.2000,20:00,Al-Shabab,Al-Ittihad FC,2,3,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
45,30.12.2000,20:00,Al-Ettifaq,Sdoos,1,1,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
46,31.12.2000,20:00,Al-Nassr,Al Ahli SC,0,0,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
